Hue,Saturation,Value,Label
22.0,151.0,113.0,swamp_tiles
26.0,104.0,115.0,swamp_tiles
23.0,134.0,107.0,swamp_tiles
23.0,135.0,110.0,swamp_tiles
21.0,120.0,89.0,swamp_tiles
22.0,88.0,89.0,swamp_tiles
24.0,102.5,85.0,swamp_tiles
21.0,164.0,74.0,swamp_tiles
21.0,130.0,80.0,swamp_tiles
22.0,109.0,84.0,swamp_tiles
22.0,134.0,80.0,swamp_tiles
21.0,76.0,107.0,swamp_tiles
21.0,113.0,95.0,swamp_tiles
21.0,80.0,82.0,swamp_tiles
20.0,130.0,74.0,swamp_tiles
22.0,75.5,82.0,swamp_tiles
20.0,128.0,91.0,swamp_tiles
20.0,128.0,91.0,swamp_tiles
21.0,199.0,146.0,unknown_tiles
21.0,197.0,145.0,unknown_tiles
21.0,199.0,146.0,unknown_tiles
21.0,197.0,145.0,unknown_tiles
21.0,200.0,147.0,unknown_tiles
20.0,209.0,143.0,unknown_tiles
21.0,167.0,157.0,unknown_tiles
21.0,168.0,156.0,unknown_tiles
20.0,221.0,121.0,unknown_tiles
20.0,215.0,124.0,unknown_tiles
21.0,200.0,144.0,unknown_tiles
20.0,209.0,140.0,unknown_tiles
20.0,202.0,150.0,unknown_tiles
21.0,200.0,155.0,unknown_tiles
19.0,187.0,132.0,unknown_tiles
18.0,200.0,130.0,unknown_tiles
